rank,company,symbol,ytd_return
1,NVIDIA CORP,NVDA,59.71%
2,META PLATFORMS INC CLASS A,META,36.10%
3,ELI LILLY + CO,LLY,32.42%
4,CATALENT INC,CTLT,29.74%
5,RALPH LAUREN CORP,RL,29.67%
6,TAPESTRY INC,TPR,29.37%
7,UBER TECHNOLOGIES INC,UBER,27.27%
8,JUNIPER NETWORKS INC,JNPR,25.78%
9,APPLIED MATERIALS INC,AMAT,25.59%
10,VIATRIS INC,VTRS,24.01%
11,HOWMET AEROSPACE INC,HWM,21.69%
12,PROGRESSIVE CORP,PGR,21.53%
13,GENERAL ELECTRIC CO,GE,21.26%
14,NETFLIX INC,NFLX,20.70%
15,WR BERKLEY CORP,WRB,20.43%
16,LAM RESEARCH CORP,LRCX,19.85%
17,ADVANCED MICRO DEVICES,AMD,19.40%
18,DAVITA INC,DVA,19.28%
19,WALT DISNEY CO/THE,DIS,19.26%
20,HARTFORD FINANCIAL SVCS GRP,HIG,18.66%
21,SOUTHWEST AIRLINES CO,LUV,18.25%
22,BROWN + BROWN INC,BRO,18.20%
23,MERCK + CO. INC.,MRK,18.18%
24,EATON CORP PLC,ETN,18.05%
25,STRYKER CORP,SYK,17.70%
26,KLA CORP,KLAC,17.64%
27,ARCH CAPITAL GROUP LTD,ACGL,17.52%
28,TRANSDIGM GROUP INC,TDG,17.38%
29,INGERSOLL RAND INC,IR,17.35%
30,BROADCOM INC,AVGO,17.28%
31,GE HEALTHCARE TECHNOLOGY,GEHC,17.20%
32,UNITED RENTALS INC,URI,16.98%
33,FORTINET INC,FTNT,16.86%
34,FORTIVE CORP,FTV,16.83%
35,TRANE TECHNOLOGIES PLC,TT,16.78%
36,CHIPOTLE MEXICAN GRILL INC,CMG,16.33%
37,WW GRAINGER INC,GWW,16.28%
38,ARISTA NETWORKS INC,ANET,16.23%
39,MARATHON PETROLEUM CORP,MPC,16.23%
40,TRIMBLE INC,TRMB,16.18%
41,LEIDOS HOLDINGS INC,LDOS,16.12%
42,CENCORA INC,COR,16.05%
43,WASTE MANAGEMENT INC,WM,15.83%
44,AMERICAN EXPRESS CO,AXP,15.81%
45,HCA HEALTHCARE INC,HCA,15.71%
46,TRAVELERS COS INC/THE,TRV,15.53%
47,ABBVIE INC,ABBV,15.38%
48,BOSTON SCIENTIFIC CORP,BSX,15.33%
49,PARKER HANNIFIN CORP,PH,15.22%
50,INTUITIVE SURGICAL INC,ISRG,15.09%
51,VULCAN MATERIALS CO,VMC,15.01%
52,AMAZON.COM INC,AMZN,15.00%
53,PACCAR INC,PCAR,14.95%
54,MONOLITHIC POWER SYSTEMS INC,MPWR,14.92%
55,BERKSHIRE HATHAWAY INC CL B,BRK.B,14.71%
56,CORTEVA INC,CTVA,14.40%
57,THE CIGNA GROUP,CI,14.31%
58,DIAMONDBACK ENERGY INC,FANG,14.21%
59,ALLSTATE CORP,ALL,14.16%
60,SALESFORCE INC,CRM,14.16%
61,BUILDERS FIRSTSOURCE INC,BLDR,14.08%
62,WILLIS TOWERS WATSON PLC,WTW,14.02%
63,CONSTELLATION ENERGY,CEG,13.97%
64,FISERV INC,FI,13.64%
65,ULTA BEAUTY INC,ULTA,13.54%
66,ALIGN TECHNOLOGY INC,ALGN,13.45%
67,WALMART INC,WMT,13.42%
68,WYNN RESORTS LTD,WYNN,13.31%
69,EDWARDS LIFESCIENCES CORP,EW,12.98%
70,COSTCO WHOLESALE CORP,COST,12.92%
71,TRACTOR SUPPLY COMPANY,TSCO,12.87%
72,JACOBS SOLUTIONS INC,J,12.85%
73,CHUBB LTD,CB,12.76%
74,FASTENAL CO,FAST,12.71%
75,REGENERON PHARMACEUTICALS,REGN,12.64%
76,INTL BUSINESS MACHINES CORP,IBM,12.58%
77,MASCO CORP,MAS,12.44%
78,HUBBELL INC,HUBB,12.36%
79,TARGA RESOURCES CORP,TRGP,12.31%
80,MCKESSON CORP,MCK,12.14%
81,REPUBLIC SERVICES INC,RSG,12.10%
82,FIDELITY NATIONAL INFO SERV,FIS,12.09%
83,SYNOPSYS INC,SNPS,11.81%
84,O REILLY AUTOMOTIVE INC,ORLY,11.79%
85,VALERO ENERGY CORP,VLO,11.61%
86,CADENCE DESIGN SYS INC,CDNS,11.50%
87,HILTON WORLDWIDE HOLDINGS IN,HLT,11.49%
88,PHILLIPS 66,PSX,11.39%
89,DOMINO S PIZZA INC,DPZ,11.35%
90,MASTERCARD INC   A,MA,11.25%
91,AMERICAN AIRLINES GROUP INC,AAL,11.21%
92,MOLINA HEALTHCARE INC,MOH,11.18%
93,CUMMINS INC,CMI,11.12%
94,ECOLAB INC,ECL,11.06%
95,HUNTINGTON INGALLS INDUSTRIE,HII,11.05%
96,STEEL DYNAMICS INC,STLD,10.98%
97,MARTIN MARIETTA MATERIALS,MLM,10.90%
98,GENERAL MOTORS CO,GM,10.77%
99,FAIR ISAAC CORP,FICO,10.67%
100,SYSCO CORP,SYY,10.54%
101,MARRIOTT INTERNATIONAL  CL A,MAR,10.51%
102,SERVICENOW INC,NOW,10.36%
103,CSX CORP,CSX,10.12%
104,CBOE GLOBAL MARKETS INC,CBOE,10.09%
105,NUCOR CORP,NUE,10.08%
106,CATERPILLAR INC,CAT,10.05%
107,MOHAWK INDUSTRIES INC,MHK,10.03%
108,OLD DOMINION FREIGHT LINE,ODFL,10.01%
109,WELLS FARGO + CO,WFC,9.98%
110,JABIL INC,JBL,9.94%
111,XYLEM INC,XYL,9.92%
112,LKQ CORP,LKQ,9.73%
113,AIRBNB INC CLASS A,ABNB,9.64%
114,LAS VEGAS SANDS CORP,LVS,9.59%
115,CARDINAL HEALTH INC,CAH,9.39%
116,PROCTER + GAMBLE CO/THE,PG,9.34%
117,QUANTA SERVICES INC,PWR,9.19%
118,VISA INC CLASS A SHARES,V,9.14%
119,EMERSON ELECTRIC CO,EMR,9.10%
120,AMPHENOL CORP CL A,APH,9.05%
121,WESTERN DIGITAL CORP,WDC,8.99%
122,UNITED AIRLINES HOLDINGS INC,UAL,8.99%
123,EQUINIX INC,EQIX,8.97%
124,AUTOMATIC DATA PROCESSING,ADP,8.83%
125,DANAHER CORP,DHR,8.78%
126,IDEX CORP,IEX,8.73%
127,BAXTER INTERNATIONAL INC,BAX,8.64%
128,QUALCOMM INC,QCOM,8.57%
129,ARTHUR J GALLAGHER + CO,AJG,8.52%
130,DISCOVER FINANCIAL SERVICES,DFS,8.51%
131,WABTEC CORP,WAB,8.49%
132,AMETEK INC,AME,8.49%
133,CINCINNATI FINANCIAL CORP,CINF,8.49%
134,BALL CORP,BALL,8.45%
135,MICROSOFT CORP,MSFT,8.38%
136,LINDE PLC,LIN,8.33%
137,TEXTRON INC,TXT,8.32%
138,CDW CORP/DE,CDW,8.32%
139,NVR INC,NVR,8.13%
140,CENTENE CORP,CNC,8.11%
141,COLGATE PALMOLIVE CO,CL,8.08%
142,AON PLC CLASS A,AON,8.04%
143,ABBOTT LABORATORIES,ABT,7.83%
144,UNIVERSAL HEALTH SERVICES B,UHS,7.80%
145,JPMORGAN CHASE + CO,JPM,7.80%
146,BATH + BODY WORKS INC,BBWI,7.74%
147,IRON MOUNTAIN INC,IRM,7.70%
148,NORFOLK SOUTHERN CORP,NSC,7.69%
149,CITIGROUP INC,C,7.62%
150,ACCENTURE PLC CL A,ACN,7.57%
151,ELEVANCE HEALTH INC,ELV,7.42%
152,MARSH + MCLENNAN COS,MMC,7.40%
153,AMERIPRISE FINANCIAL INC,AMP,7.40%
154,INTERCONTINENTAL EXCHANGE IN,ICE,7.38%
155,NEWS CORP   CLASS A,NWSA,7.37%
156,EQUIFAX INC,EFX,7.26%
157,HOME DEPOT INC,HD,7.23%
158,GENUINE PARTS CO,GPC,7.16%
159,AUTOZONE INC,AZO,7.15%
160,COPART INC,CPRT,7.14%
161,DOVER CORP,DOV,7.13%
162,LOEWS CORP,L,7.11%
163,NEWS CORP   CLASS B,NWS,7.00%
164,RTX CORP,RTX,6.99%
165,IQVIA HOLDINGS INC,IQV,6.96%
166,PACKAGING CORP OF AMERICA,PKG,6.86%
167,ROSS STORES INC,ROST,6.83%
168,CORNING INC,GLW,6.77%
169,JACK HENRY + ASSOCIATES INC,JKHY,6.74%
170,RESMED INC,RMD,6.55%
171,VERTEX PHARMACEUTICALS INC,VRTX,6.53%
172,HENRY SCHEIN INC,HSIC,6.42%
173,RAYMOND JAMES FINANCIAL INC,RJF,6.41%
174,STERIS PLC,STE,6.30%
175,INTUIT INC,INTU,6.21%
176,BANK OF NEW YORK MELLON CORP,BK,6.21%
177,ASSURANT INC,AIZ,6.20%
178,CHURCH + DWIGHT CO INC,CHD,6.20%
179,DAYFORCE INC,DAY,6.17%
